[local] 5 -6 -2 0.700409 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -6 -7 0.700001 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -6 -3 0.700124 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -6 -1 0.701002 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -6 -5 0.700003 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -6 -8 0.699999 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -3 -4 0.810877 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -3 -2 0.811575 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -3 -6 0.810866 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -3 -3 0.811102 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -3 -7 0.810875 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -3 -1 0.811967 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -3 -5 0.810887 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -3 -8 0.810869 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -8 -4 0.668836 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -8 -6 0.668931 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -8 -2 0.669326 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -8 -7 0.668914 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -8 -3 0.668901 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -8 -1 0.670167 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -8 -5 0.668941 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -8 -8 0.668911 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 0 -4 0.884687 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 0 -6 0.884419 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 0 -2 0.885544 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 0 -7 0.884378 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 0 -3 0.885018 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 0 -1 0.886413 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 0 -5 0.884492 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -5 -4 0.733051 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 0 -8 0.884355 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -5 -6 0.73305 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -5 -2 0.733036 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -5 -7 0.733064 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -5 -3 0.732994 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -5 -5 0.733054 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -5 -1 0.733515 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 0 -4 -4 0.666138 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
